Fase,Marca,Nombre del producto,Titulo optimizado,EAN,Descripción,Beneficio (bullets),Modo de uso,Composición,Ingredientes,Tipo de cabello,Presentacion,Palabras Clave
Fase 1,KLORANE,Shampoo Quinina ,Shampoo Anticaida Klorane Quinina 400ml,7799075001533,Shampoo fortificante específico para el tratamiento contra la caída del cabello o para el cabello desvitalizado.,"- 80% ingredientes de origen natural.
 -Cabello limpio por más tiempo. 
 -Apto Vegano: sin ingredientes de origen animal.
 - Estimula el crecimiento. 
 - Base lavante suave sin sulfatos. 
 -Fórmula biodegradable.
 -Apto uso para todo tipo de pelo.","Aplicar sobre el cuero cabelludo, masajear, dejar 
 actuar unos minutos y enjuagar","Compuesto por: Quinina + Edelweiss BIO (Activa el crecimiento y disminuye la pérdida del cabello), Cafeína (Refuerza el anclaje del cabello.Extiende la fase de crecimiento), Biotina (Estimula la síntesis de energía), Base lavante suave, limpia sin agredir","WATER (AQUA)*. DISODIUM LAURETH SULFOSUCCINATE. PEG-120 METHYL GLUCOSE DIOLEATE. LAURYL BETAINE. LAURETH-3. MALEIC ACID. PEG-40 HYDROGENATED CASTOR OIL. CINCHONA SUCCIRUBRA BARK EXTRACT*. LEONTOPODIUM ALPINUM FLOWER/LEAF EXTRACT*. CAFFEINE. BIOTIN. NIACINAMIDE. PANTHENOL. ALCOHOL*. BLUE 1 (CI 42090). CAPRYLYL GLYCOL. CITRIC ACID*. FRAGRANCE (PARFUM). GLYCERIN*. GREEN 3 (CI 42053). PANTOLACTONE. POLYQUATERNIUM-22. POTASSIUM SORBATE. PYRIDOXINE HCL. RED 33 (CI 17200). SODIUM BENZOATE. SODIUM CHLORIDE. TOCOPHEROL. YELLOW 6 (CI 15985)

80% de ingredientes de origen natural",Frágil,400 ml,*Shampoo *Caída *Cabello *Pelo *Calvicie *Alopecia *Revitalizante *Vigoroso *Resistente *Hidratante *Suavizante *Fuerte
Fase 1,KLORANE,Shampoo Mango,Shampoo Nutritivo Klorane Mango 400ml,7799075001915,Shampoo nutritivo para cabellos secos y deteriorados.,"- 86% de ingredientes de origen natural.
 -Apto Vegano sin ingredientes de origen animal.
 - Lavado suave y nutritivo sin sulfatos.
 - Proporcion brillo y suavidad.
 -Facilita el peinado.
 -Fórmula biodegradable.
 -Apto uso a partir de los 3 años.
 - Frasco 100% reciclable y reciclado","Aplicar sobre el cabello húmedo y dar un masaje suave. Luego enjuagar. Una sola aplicación es suficiente, se recomienda combinarlo con el Acondicionador de Mango.","Compuesto por: Manteca de mango (Nutre, hidrata y retiene el agua a nivel de la fibra capilar)","WATER (AQUA)*. DECYL GLUCOSIDE*. SODIUM COCOYL ISETHIONATE. DISODIUM LAURETH SULFOSUCCINATE. GLYCERIN*. DISODIUM COCOAMPHODIACETATE. ACRYLATES COPOLYMER. MANGIFERA INDICA (MANGO) SEED BUTTER (MANGIFERA INDICA SEED BUTTER)*. TOCOPHEROL. CAPRYLYL GLYCOL. CETEARETH-60 MYRISTYL GLYCOL. CITRIC ACID*. COCO-GLUCOSIDE*. COCONUT ACID*. FRAGRANCE (PARFUM). GLYCERYL OLEATE*. GLYCOL STEARATE*. HYDROGENATED VEGETABLE GLYCERIDES CITRATE*. LAURETH-3. MALEIC ACID. POLYQUATERNIUM-22. SODIUM BENZOATE. SODIUM CHLORIDE. SODIUM HYDROXIDE*. TRISODIUM ETHYLENEDIAMINE DISUCCINATE. YELLOW 5 (CI 19140). YELLOW 6 (CI 15985)

86% de ingredientes de origen natural",Seco,400 ml,"*Tratamiento Shampoo Nutritivo *Cabello *Cuidado capilar *Cuidado del pelo *Nutrición *Shampoo, Mango *Suavidad *Pelo *Hidratación *Desenredo *Pelo dañado *Reparador *Regenerador *Vegano *Sin Sulfatos *Alta tolerancia"
Fase 1,KLORANE,Shampoo Avena,Shampoo Suavizante Klorane Avena 200ml,7798095410868,Shampoo hidratante y suavizante para toda la familia.,"- 87% de ingredientes de origen natural.
 -Apto Vegano: sin ingredientes de origen animal.
 -Para toda la familia.
 - Niños +3 años.
 -Fórmula biodegradable.
 - Fórmula alta tolerancia.
 - Tarro 100% reciclable y reciclado","Aplicar sobre el cuero cabelludo, masajear, dejar actuar unos minutos y enjuagar.",Compuesto por: Avena (suaviza y protege).,WATER (AQUA)*. DECYL GLUCOSIDE*. SODIUM COCOYL ISETHIONATE. DISODIUM LAURETH SULFOSUCCINATE. GLYCERIN*. DISODIUM COCOAMPHODIACETATE. ACRYLATES COPOLYMER. AVENA SATIVA (OAT) LEAF/STEM EXTRACT (AVENA SATIVA LEAF/STEM EXTRACT)*. CAPRYLYL GLYCOL. CETEARETH-60 MYRISTYL GLYCOL. CITRIC ACID*. COCO-GLUCOSIDE*. COCONUT ACID*. FRAGRANCE (PARFUM). GLYCERYL OLEATE*. GLYCOL STEARATE*. HYDROGENATED VEGETABLE GLYCERIDES CITRATE*. LAURETH-3. MALEIC ACID. POLYQUATERNIUM-22. SODIUM BENZOATE. SODIUM CHLORIDE. SODIUM HYDROXIDE*. TOCOPHEROL. TRISODIUM ETHYLENEDIAMINE DISUCCINATE,Toda la familia,200 ml,*Shampoo *Cabello *Pelo *Delicado *Suaviza *Protege *Desenreda *Verano
Fase 1,KLORANE,Shampoo Camomila,Shampoo Reflejos Rubios Klorane Camomila 200ml,7798095411001,"Shampoo que reaviva las tonalidades de los cabellos rubios y castaños claros, aportándoles un brillo especial, similar a las mechas y/o reflejos. Apto para toda la familia, a partir de los 3 años.","- 85% de ingredientes de origen natural.
 -Apto Vegano: sin ingredientes de origen animal.
 -Para toda la familia.
 - Niños +3 años.
 -Fórmula biodegradable.
 - Fórmula alta tolerancia.
 - Tarro 100% reciclable y reciclado","Aplicar sobre el cuero cabelludo, masajear, dejar actuar unos minutos y enjuagar.","Compuesto por: Extracto de Camomilla (acción aclaradora natural para el cabello rubio, para obtener reflejos de tono dorado y miel)",WATER (AQUA)*. DISODIUM LAURETH SULFOSUCCINATE. CETEARETH-60 MYRISTYL GLYCOL. LAURYL BETAINE. DECYL GLUCOSIDE*. GLYCERIN*. LAURETH-3. PENTYLENE GLYCOL*. CHAMOMILLA RECUTITA (MATRICARIA) FLOWER EXTRACT (CHAMOMILLA RECUTITA FLOWER EXTRACT)*. VINEGAR (ACETUM)*. CITRIC ACID*. FRAGRANCE (PARFUM). MALEIC ACID. OLETH-10. POLYQUATERNIUM-22. SODIUM BENZOATE. SODIUM CHLORIDE. TOCOPHEROL. TRISODIUM ETHYLENEDIAMINE DISUCCINATE,Rubio,200 ml,*Shampoo *Cabello rubio *Color *Reflejos Rubios *Brillo *Cuidado Capilar  *Pelo *Manzanilla *Niños
Fase 1,KLORANE,Shampoo Camomila,Shampoo Reflejos Rubios Klorane Camomila 400ml,7798095411018,"Shampoo que reaviva las tonalidades de los cabellos rubios y castaños claros, aportándoles un brillo especial, similar a las mechas y/o reflejos. Apto para toda la familia, a partir de los 3 años.","- 85% de ingredientes de origen natural.
 -Apto Vegano: sin ingredientes de origen animal.
 -Para toda la familia.
 - Niños +3 años.
 -Fórmula biodegradable.
 - Fórmula alta tolerancia.
 - Tarro 100% reciclable y reciclado","Aplicar sobre el cuero cabelludo, masajear, dejar actuar unos minutos y enjuagar.","Compuesto por: Extracto de Camomilla (acción aclaradora natural para el cabello rubio, para obtener reflejos de tono dorado y miel)",WATER (AQUA)*. DISODIUM LAURETH SULFOSUCCINATE. CETEARETH-60 MYRISTYL GLYCOL. LAURYL BETAINE. DECYL GLUCOSIDE*. GLYCERIN*. LAURETH-3. PENTYLENE GLYCOL*. CHAMOMILLA RECUTITA (MATRICARIA) FLOWER EXTRACT (CHAMOMILLA RECUTITA FLOWER EXTRACT)*. VINEGAR (ACETUM)*. CITRIC ACID*. FRAGRANCE (PARFUM). MALEIC ACID. OLETH-10. POLYQUATERNIUM-22. SODIUM BENZOATE. SODIUM CHLORIDE. TOCOPHEROL. TRISODIUM ETHYLENEDIAMINE DISUCCINATE,Rubio,400 ml,*Shampoo *Cabello rubio *Color *Reflejos Rubios *Brillo *Cuidado Capilar  *Pelo *Manzanilla *Niños
Fase 1,KLORANE,Shampoo Quinina ,Shampoo Anticaida Klorane 200ml,7799075001861,Shampoo fortificante específico para el tratamiento contra la caída del cabello o para el cabello desvitalizado.,"- 80% ingredientes de origen natural.
 -Cabello limpio por más tiempo. 
 -Apto Vegano: sin ingredientes de origen animal.
 - Estimula el crecimiento. 
 - Base lavante suave sin sulfatos. 
 -Fórmula biodegradable.
 -Apto uso para todo tipo de pelo.","Aplicar sobre el cuero cabelludo, masajear, dejar 
 actuar unos minutos y enjuagar","Compuesto por: Quinina + Edelweiss BIO (Activa el crecimiento y disminuye la pérdida del cabello), Cafeína (Refuerza el anclaje del cabello.Extiende la fase de crecimiento), Biotina (Estimula la síntesis de energía), Base lavante suave, limpia sin agredir","WATER (AQUA)*. DISODIUM LAURETH SULFOSUCCINATE. PEG-120 METHYL GLUCOSE DIOLEATE. LAURYL BETAINE. LAURETH-3. MALEIC ACID. PEG-40 HYDROGENATED CASTOR OIL. CINCHONA SUCCIRUBRA BARK EXTRACT*. LEONTOPODIUM ALPINUM FLOWER/LEAF EXTRACT*. CAFFEINE. BIOTIN. NIACINAMIDE. PANTHENOL. ALCOHOL*. BLUE 1 (CI 42090). CAPRYLYL GLYCOL. CITRIC ACID*. FRAGRANCE (PARFUM). GLYCERIN*. GREEN 3 (CI 42053). PANTOLACTONE. POLYQUATERNIUM-22. POTASSIUM SORBATE. PYRIDOXINE HCL. RED 33 (CI 17200). SODIUM BENZOATE. SODIUM CHLORIDE. TOCOPHEROL. YELLOW 6 (CI 15985)

80% de ingredientes de origen natural",Frágil,200 ml,*Shampoo *Caída *Cabello *Pelo *Calvicie *Alopecia *Revitalizante *Vigoroso *Resistente *Hidratante *Suavizante *Fuerte
Fase 1,KLORANE,Acondicionador Quinina,Acondicionador Anticaida Klorane 200ml,7799075001601,Bálsamo fortificante complementario para la caída del cabello o para el cabello desvitalizado.,"89% ingredientes de origen natural.
 - Desenreda el cabello.
 - Refuerza la fibra capilar.
 -Apto Vegano: sin ingredientes de origen animal.
 -Fórmula biodegradable.
 -Apto uso para todo tipo de pelo.","Aplicar en el cabello escurrido, dejar actuar unos minutos. Peinar y enjuagar.",Compuesto por: Quinina + Edelweiss BIO (Activa el crecimiento y disminuye la pérdida del cabello).,"WATER (AQUA)*. HYDROXYPROPYL STARCH PHOSPHATE. CETEARYL ALCOHOL. BEHENAMIDOPROPYL DIMETHYLAMINE*. GLYCERIN*. COCO-CAPRYLATE/CAPRATE*. 1,2-HEXANEDIOL. CINCHONA SUCCIRUBRA BARK EXTRACT*. LEONTOPODIUM ALPINUM FLOWER/LEAF EXTRACT*. CAFFEINE. BIOTIN. NIACINAMIDE. PANTHENOL. HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL (HELIANTHUS ANNUUS SEED OIL)*. ALCOHOL*. BENZOIC ACID. CETEARETH-33. CITRIC ACID*. FRAGRANCE (PARFUM). LACTIC ACID*. PANTOLACTONE. POTASSIUM SORBATE. PYRIDOXINE HCL. SODIUM BENZOATE. TOCOPHEROL*. TRISODIUM ETHYLENEDIAMINE DISUCCINATE",Frágil,200 ml,"*Tratamiento Anti Caída* Cabello, *Cuidado capilar *Cuidado del pelo *Fortalecedor *Balsamo, *Acondicionador *Quinina *Fortificante *Pelo*Hidratación *Nutrición *Pelo dañado *Reparador *Regenerador *Energizante *Crecimeinto capilar"
Fase 1,KLORANE,Shampoo Avena,Shampoo Hidratante Klorane Avena 400ml,7798095412428,Shampoo hidratante y suavizante para toda la familia.,"87% de ingredientes de origen natural.
 -Apto Vegano: sin ingredientes de origen animal.
 -Para toda la familia.
 - Niños +3 años.
 -Fórmula biodegradable.
 - Fórmula alta tolerancia.
 - Tarro 100% reciclable y reciclado","Aplicar sobre el cuero cabelludo, masajear, dejar actuar unos minutos y enjuagar.",Compuesto por: Avena (suaviza y protege).,WATER (AQUA)*. DECYL GLUCOSIDE*. SODIUM COCOYL ISETHIONATE. DISODIUM LAURETH SULFOSUCCINATE. GLYCERIN*. DISODIUM COCOAMPHODIACETATE. ACRYLATES COPOLYMER. AVENA SATIVA (OAT) LEAF/STEM EXTRACT (AVENA SATIVA LEAF/STEM EXTRACT)*. CAPRYLYL GLYCOL. CETEARETH-60 MYRISTYL GLYCOL. CITRIC ACID*. COCO-GLUCOSIDE*. COCONUT ACID*. FRAGRANCE (PARFUM). GLYCERYL OLEATE*. GLYCOL STEARATE*. HYDROGENATED VEGETABLE GLYCERIDES CITRATE*. LAURETH-3. MALEIC ACID. POLYQUATERNIUM-22. SODIUM BENZOATE. SODIUM CHLORIDE. SODIUM HYDROXIDE*. TOCOPHEROL. TRISODIUM ETHYLENEDIAMINE DISUCCINATE,Toda la familia,400 ml,*Shampoo *Cabello *Pelo *Delicado *Suaviza *Protege *Desenreda *Verano
Fase 2,KLORANE,Shampoo Mango,Shampoo Nutritivo Klorane Mango 200ml,7799075001540,Shampoo nutritivo para cabellos secos y deteriorados.,"- 86% de ingredientes de origen natural.
 -Apto Vegano sin ingredientes de origen animal.
 - Lavado suave y nutritivo sin sulfatos.
 - Proporcion brillo y suavidad.
 -Facilita el peinado.
 -Fórmula biodegradable.
 -Apto uso a partir de los 3 años.
 - Frasco 100% reciclable y reciclado","Aplicar sobre el cabello húmedo y dar un masaje suave. Luego enjuagar. Una sola aplicación es suficiente, se recomienda combinarlo con el Acondicionador de Mango.","Compuesto por: Manteca de mango (Nutre, hidrata y retiene el agua a nivel de la fibra capilar)","WATER (AQUA)*. DECYL GLUCOSIDE*. SODIUM COCOYL ISETHIONATE. DISODIUM LAURETH SULFOSUCCINATE. GLYCERIN*. DISODIUM COCOAMPHODIACETATE. ACRYLATES COPOLYMER. MANGIFERA INDICA (MANGO) SEED BUTTER (MANGIFERA INDICA SEED BUTTER)*. TOCOPHEROL. CAPRYLYL GLYCOL. CETEARETH-60 MYRISTYL GLYCOL. CITRIC ACID*. COCO-GLUCOSIDE*. COCONUT ACID*. FRAGRANCE (PARFUM). GLYCERYL OLEATE*. GLYCOL STEARATE*. HYDROGENATED VEGETABLE GLYCERIDES CITRATE*. LAURETH-3. MALEIC ACID. POLYQUATERNIUM-22. SODIUM BENZOATE. SODIUM CHLORIDE. SODIUM HYDROXIDE*. TRISODIUM ETHYLENEDIAMINE DISUCCINATE. YELLOW 5 (CI 19140). YELLOW 6 (CI 15985)

86% de ingredientes de origen natural",Seco,200 ml,"*Tratamiento Shampoo Nutritivo *Cabello *Cuidado capilar *Cuidado del pelo *Nutrición *Shampoo, Mango *Suavidad *Pelo *Hidratación *Desenredo *Pelo dañado *Reparador *Regenerador *Vegano *Sin Sulfatos *Alta tolerancia"
Fase 2,KLORANE,Mascarilla Mango,Mascarilla Nutritiva Klorane Mango 150ml,7799075001557,Mascarilla nutritiva para cabellos secos y deteriorados.,"-98% de ingredientes de origen natural. 
-Apto Vegano: sin ingredientes de origen animal.
- Nutre intensa y profundamente.
- Proporcion brillo y suavidad.
-Facilita el peinado.
-Apto uso a partir de los 3 años.
- Frasco 100% reciclable y reciclado","Aplicar generosamente a lo largo del cabello y sobre las puntas enjuagadas y escurridas después del shampoo.  Dejar actuar 5 minutos, peinar y enjuagar abundantemente. Utilizar una vez por semana como cuidado profundo o más frecuentemente si el cabello está muy dañado. Para reforzar su acción, dejar actuar 20 minutos sobre el cabello cubierto con una toalla caliente antes de enjuagar.","Manteca de mango (Nutre e hidrata), Cera lipocatiónica (Hidratación, protección y desenredado), Agentes alisadores (Alisado y brillo).","WATER (AQUA)*. CETYL ALCOHOL*. CAPRYLIC/CAPRIC TRIGLYCERIDE*. MANGIFERA INDICA (MANGO) SEED BUTTER (MANGIFERA INDICA SEED BUTTER)*. BEHENAMIDOPROPYL DIMETHYLAMINE*. GLYCERIN*. COCO-CAPRYLATE/CAPRATE*. CETEARYL ALCOHOL*. 1,2-HEXANEDIOL. BENZOIC ACID. CETEARYL GLUCOSIDE*. FRAGRANCE (PARFUM). HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL (HELIANTHUS ANNUUS SEED OIL)*. LACTIC ACID*. SCLEROTIUM GUM. TOCOPHEROL*. YELLOW 5 (CI 19140). YELLOW 6 (CI 15985)

98 % de ingredientes de origen natural",Seco,150 ml,*Macarilla *Tratamiento *Crema *Flexibilidad *Suavidad *Nutre *Hidrata *Alisa *Suaviza
