TIPO,CATEGORÍA,SUBCATEGORÍA (Español),FAMILIA (Español),Nombre del Producto en Inglés (CALIDAD),Nombre del Producto en Español,Descripción MKT,Características,Cod SAP local,EAN ,Merch Code,Tono,Status 2023
Revlon,Esmalte para UÑAS,Esmalte en Gel,ColorStay, ColorStay Gel Envy Diamond Top Coat,Capa Protectora de larga duración,"ColorStay Gel Envy™ Diamond Top Coat es nuestra capa protectora de esmalte más resistente. Fabricada con la exclusiva DiamondFlex™ Technology, está diseñada especialmente para usar en conjunto con ColorStay Gel Envy™ Longwear Nail Enamel y así brindar un color de calidad profesional y un brillo como de diamante 5 Free.","Capa protectora
Tecnología Diamondflex™
Larga Duración
5 Free (Tolueno, Formaldehido, DBP, Resina de Formaldehido, Alcanfor).",7253533000,309970104320,10,Diamond Top Coat,Regular
Revlon,Esmalte para UÑAS,Esmalte en Gel,ColorStay, ColorStay Gel Envy Up In Charms ,Capa Protectora de larga duración,"Crea color con calidad de salón con mas de 30 tonos vibrantes con nuestro revolucionario sistema de 2 pasos. Cepillo en la base y color en uno, y luego terminar con el protector Envy Gel ColorStay Diamond Top Coat ? para mayor resistencia . Juntos, crean colores vivos , acabado brillante y hermosa vida resistente.","Capa protectora
Tecnología Diamondflex™
Larga Duración
5 Free (Tolueno, Formaldehido, DBP, Resina de Formaldehido, Alcanfor).",7253531031,309976012315,15,Up in Charms ,Regular
Revlon,Esmalte para UÑAS,Esmalte en Gel,ColorStay, ColorStay Gel Envy Longwear Nail Enamel ,Esmalte para Uñas de larga duración,"Esmalte para uñas en gel de Larga Duración. Su fórmula contiene polímeros que realzan el color. 7 días de color con ingredientes hidratantes: aceite de almendras, manteca de karité, aceite de jojoba & 5 Free.","Esmalte de gel
Color+Base
Larga Duración
5 Free (Tolueno, Formaldehido, DBP, Resina de Formaldehido, Alcanfor)
Hidratante",7253531068,309978418689,462,All Grieged Out,Regular
Revlon,Esmalte para UÑAS,Esmalte en Gel,ColorStay, ColorStay Gel Envy Longwear Nail Enamel ,Esmalte para Uñas de larga duración,"Esmalte para uñas en gel de Larga Duración. Su fórmula contiene polímeros que realzan el color. 7 días de color con ingredientes hidratantes: aceite de almendras, manteca de karité, aceite de jojoba & 5 Free.","Esmalte de gel
Color+Base
Larga Duración
5 Free (Tolueno, Formaldehido, DBP, Resina de Formaldehido, Alcanfor)
Hidratante",7253531062,309976012629,550,All on Red,Regular
Revlon,Esmalte para UÑAS,Esmalte en Gel,ColorStay, ColorStay Gel Envy Longwear Nail Enamel ,Esmalte para Uñas de larga duración,"Esmalte para uñas en gel de Larga Duración. Su fórmula contiene polímeros que realzan el color. 7 días de color con ingredientes hidratantes: aceite de almendras, manteca de karité, aceite de jojoba & 5 Free.","Esmalte de gel
Color+Base
Larga Duración
5 Free (Tolueno, Formaldehido, DBP, Resina de Formaldehido, Alcanfor)
Hidratante",7253531006,309970104375,006,All or Nothing,Regular
Revlon,Esmalte para UÑAS,Esmalte en Gel,ColorStay, ColorStay Gel Envy Longwear Nail Enamel ,Esmalte para Uñas de larga duración,"Esmalte para uñas en gel de Larga Duración. Su fórmula contiene polímeros que realzan el color. 7 días de color con ingredientes hidratantes: aceite de almendras, manteca de karité, aceite de jojoba & 5 Free.","Esmalte de gel
Color+Base
Larga Duración
5 Free (Tolueno, Formaldehido, DBP, Resina de Formaldehido, Alcanfor)
Hidratante",7253531015,309970104368,520,Black Jack,Regular
Revlon,Esmalte para UÑAS,Esmalte en Gel,ColorStay, ColorStay Gel Envy Longwear Nail Enamel ,Esmalte para Uñas de larga duración,"Esmalte para uñas en gel de Larga Duración. Su fórmula contiene polímeros que realzan el color. 7 días de color con ingredientes hidratantes: aceite de almendras, manteca de karité, aceite de jojoba & 5 Free.","Esmalte de gel
Color+Base
Larga Duración
5 Free (Tolueno, Formaldehido, DBP, Resina de Formaldehido, Alcanfor)
Hidratante",7253531002,309970103910,030,Cardshark,Disponible hasta agotar stock
Revlon,Esmalte para UÑAS,Esmalte en Gel,ColorStay, ColorStay Gel Envy Longwear Nail Enamel ,Esmalte para Uñas de larga duración,"Esmalte para uñas en gel de Larga Duración. Su fórmula contiene polímeros que realzan el color. 7 días de color con ingredientes hidratantes: aceite de almendras, manteca de karité, aceite de jojoba & 5 Free.","Esmalte de gel
Color+Base
Larga Duración
5 Free (Tolueno, Formaldehido, DBP, Resina de Formaldehido, Alcanfor)
Hidratante",7253531017,309970105167,540,CheckMate,Regular
Revlon,Esmalte para UÑAS,Esmalte en Gel,ColorStay, ColorStay Gel Envy Longwear Nail Enamel ,Esmalte para Uñas de larga duración,"Esmalte para uñas en gel de Larga Duración. Su fórmula contiene polímeros que realzan el color. 7 días de color con ingredientes hidratantes: aceite de almendras, manteca de karité, aceite de jojoba & 5 Free.","Esmalte de gel
Color+Base
Larga Duración
5 Free (Tolueno, Formaldehido, DBP, Resina de Formaldehido, Alcanfor)
Hidratante",7253531036,309970104306,615,Get Lucky,Regular
Revlon,Esmalte para UÑAS,Esmalte en Gel,ColorStay, ColorStay Gel Envy Longwear Nail Enamel ,Esmalte para Uñas de larga duración,"Esmalte para uñas en gel de Larga Duración. Su fórmula contiene polímeros que realzan el color. 7 días de color con ingredientes hidratantes: aceite de almendras, manteca de karité, aceite de jojoba & 5 Free.","Esmalte de gel
Color+Base
Larga Duración
5 Free (Tolueno, Formaldehido, DBP, Resina de Formaldehido, Alcanfor)
Hidratante",7253531061,309976012612,610,HeartBreaker,Regular
