TIPO,CATEGORIA,SUBCATEGORIA (Español),FAMILIA (Español),Nombre del Producto en Inglés (CALIDAD),Nombre del Producto en Español,Descripción MKT,Características,Cod SAP local,EAN ,Merch Code,Tono,Status 2023
Revlon Cosmetics,Maquillaje para LABIOS,Bálsamo para Labios,Kiss Color + Care,Revlon Kiss Exfolating Balm,Bálsamo Exfoliante para Labios,Verdaderos cristales de azúcar que pulen la resequedad y se disuelven para labios más suaves. Fórmula a base de óeos frutales que dan hidratación por 24 horas. Ideal cómo primer paso para un maquillaje de labios perfecto. No es necesario retirarlo. Sabor a menta dulce.,"Exfoliante a base de cristales de azúcar
24 horas de hidratación
¡No es necesario retirarlo!
Sabor a menta fresca",7245540001,309974378017,111,Mint,Regular
Revlon Cosmetics,Maquillaje para LABIOS,Bálsamo para Labios,Kiss Color + Care,Revlon Kiss Balm ,Bálsamo para Labios,Bálsamo para labios instantáneamente más suaves y besables. Fórmula hidratante a base de aceites frutales naturales con color. Tiene FPS 20 y está disponible en 4 tonos. Sabor frutal.,"Bálsamo Hidratante
Fórmula a base de óleos frutales
FPS 20
Suavidad e hidratación instantánea",7245351010,309971879104,010,Tropical Coconut,Regular
Revlon Cosmetics,Maquillaje para LABIOS,Bálsamo para Labios,Kiss Color + Care,Revlon Kiss Balm ,Bálsamo para Labios,Bálsamo para labios instantáneamente más suaves y besables. Fórmula hidratante a base de aceites frutales naturales con color. Tiene FPS 20 y está disponible en 4 tonos. Sabor frutal.,"Bálsamo Hidratante
Fórmula a base de óleos frutales
FPS 20
Suavidad e hidratación instantánea",7245351015,309971879159,015,Juicy Peach,Regular
Revlon Cosmetics,Maquillaje para LABIOS,Bálsamo para Labios,Kiss Color + Care,Revlon Kiss Balm ,Bálsamo para Labios,Bálsamo para labios instantáneamente más suaves y besables. Fórmula hidratante a base de aceites frutales naturales con color. Tiene FPS 20 y está disponible en 4 tonos. Sabor frutal.,"Bálsamo Hidratante
Fórmula a base de óleos frutales
FPS 20
Suavidad e hidratación instantánea",7245351020,309971879203,025,Fresh Strawberry,Regular
Revlon Cosmetics,Maquillaje para LABIOS,Bálsamo para Labios,Kiss Color + Care,Revlon Kiss Balm ,Bálsamo para Labios,Bálsamo para labios instantáneamente más suaves y besables. Fórmula hidratante a base de aceites frutales naturales con color. Tiene FPS 20 y está disponible en 4 tonos. Sabor frutal.,"Bálsamo Hidratante
Fórmula a base de óleos frutales
FPS 20
Suavidad e hidratación instantánea",7245351025,309971879258,030,Sweet Cherry,Regular
Revlon Cosmetics,Maquillaje para LABIOS,Brillo para Labios,Ultra HD, Ultra HD Vinyl Lip Polish,Labial con brillo,"¡Descubrí el labial que estabas esperando! Este labial te dará un color uniforme y de alta pigmentación, junto con un brillo increíble sin aportar sensación pegajosa como la de otros brillos tradicionales.
Se ve bien y se siente riquísimo. Su fórmula contiene Vitamina E, Manteca de Karité y Extracto de Aloe para cuidar al máximo tus labios. Además, le sumamos una exquisita fragancia a mango y vainilla para que vivas una experiencia aún más irresistible.
No podría ser más fácil de usar. El aplicador con forma de punta está especialmente diseñado para depositar la cantidad exacta de producto para facilitar un maquillaje suave y perfecto.
Nuestras características favoritas: Extremadamente brillante y no es pegajoso. 
Tip de aplicación: Puede aplicarse solo o sobre los labios ya maquillados para lograr un efecto jugoso. 
Un truco: aplicar brillo de labios solo en el centro del labio aportará un efecto visual de más volumen.","•	Fórmula: color intenso de alto impacto, brillo extremo con cobertura total en 1 sola pasada.
•	Ingredientes: contiene Vitamina E, Manteca de Karité y Extracto de Aloe.
•	Acabado: brillo intenso y altamente pigmentado.
•	Fragancia: exquisita fragancia de mango y vainilla.
•	Aplicador: aplicador con forma de punta que facilita una buena experiencia: fácil de aplicar, preciso y cómodo en los labios. ",7256196011,309970054564,950,Act Natural,Disponible hasta agotar stock
Revlon Cosmetics,Maquillaje para LABIOS,Brillo para Labios,Ultra HD, Ultra HD Vinyl Lip Polish,Labial con brillo,"¡Descubrí el labial que estabas esperando! Este labial te dará un color uniforme y de alta pigmentación, junto con un brillo increíble sin aportar sensación pegajosa como la de otros brillos tradicionales.
Se ve bien y se siente riquísimo. Su fórmula contiene Vitamina E, Manteca de Karité y Extracto de Aloe para cuidar al máximo tus labios. Además, le sumamos una exquisita fragancia a mango y vainilla para que vivas una experiencia aún más irresistible.
No podría ser más fácil de usar. El aplicador con forma de punta está especialmente diseñado para depositar la cantidad exacta de producto para facilitar un maquillaje suave y perfecto.
Nuestras características favoritas: Extremadamente brillante y no es pegajoso. 
Tip de aplicación: Puede aplicarse solo o sobre los labios ya maquillados para lograr un efecto jugoso. 
Un truco: aplicar brillo de labios solo en el centro del labio aportará un efecto visual de más volumen.","•	Fórmula: color intenso de alto impacto, brillo extremo con cobertura total en 1 sola pasada.
•	Ingredientes: contiene Vitamina E, Manteca de Karité y Extracto de Aloe.
•	Acabado: brillo intenso y altamente pigmentado.
•	Fragancia: exquisita fragancia de mango y vainilla.
•	Aplicador: aplicador con forma de punta que facilita una buena experiencia: fácil de aplicar, preciso y cómodo en los labios. ",7256196006,309970054526,925,Birthday Suit,Disponible hasta agotar stock
Revlon Cosmetics,Maquillaje para LABIOS,Brillo para Labios,Ultra HD, Ultra HD Vinyl Lip Polish,Labial con brillo,"¡Descubrí el labial que estabas esperando! Este labial te dará un color uniforme y de alta pigmentación, junto con un brillo increíble sin aportar sensación pegajosa como la de otros brillos tradicionales.
Se ve bien y se siente riquísimo. Su fórmula contiene Vitamina E, Manteca de Karité y Extracto de Aloe para cuidar al máximo tus labios. Además, le sumamos una exquisita fragancia a mango y vainilla para que vivas una experiencia aún más irresistible.
No podría ser más fácil de usar. El aplicador con forma de punta está especialmente diseñado para depositar la cantidad exacta de producto para facilitar un maquillaje suave y perfecto.
Nuestras características favoritas: Extremadamente brillante y no es pegajoso. 
Tip de aplicación: Puede aplicarse solo o sobre los labios ya maquillados para lograr un efecto jugoso. 
Un truco: aplicar brillo de labios solo en el centro del labio aportará un efecto visual de más volumen.","•	Fórmula: color intenso de alto impacto, brillo extremo con cobertura total en 1 sola pasada.
•	Ingredientes: contiene Vitamina E, Manteca de Karité y Extracto de Aloe.
•	Acabado: brillo intenso y altamente pigmentado.
•	Fragancia: exquisita fragancia de mango y vainilla.
•	Aplicador: aplicador con forma de punta que facilita una buena experiencia: fácil de aplicar, preciso y cómodo en los labios. ",7256196003,309970054601,910,Cherry on Top,Disponible hasta agotar stock
Revlon Cosmetics,Maquillaje para LABIOS,Brillo para Labios,Ultra HD, Ultra HD Vinyl Lip Polish,Labial con brillo,"¡Descubrí el labial que estabas esperando! Este labial te dará un color uniforme y de alta pigmentación, junto con un brillo increíble sin aportar sensación pegajosa como la de otros brillos tradicionales.
Se ve bien y se siente riquísimo. Su fórmula contiene Vitamina E, Manteca de Karité y Extracto de Aloe para cuidar al máximo tus labios. Además, le sumamos una exquisita fragancia a mango y vainilla para que vivas una experiencia aún más irresistible.
No podría ser más fácil de usar. El aplicador con forma de punta está especialmente diseñado para depositar la cantidad exacta de producto para facilitar un maquillaje suave y perfecto.
Nuestras características favoritas: Extremadamente brillante y no es pegajoso. 
Tip de aplicación: Puede aplicarse solo o sobre los labios ya maquillados para lograr un efecto jugoso. 
Un truco: aplicar brillo de labios solo en el centro del labio aportará un efecto visual de más volumen.","•	Fórmula: color intenso de alto impacto, brillo extremo con cobertura total en 1 sola pasada.
•	Ingredientes: contiene Vitamina E, Manteca de Karité y Extracto de Aloe.
•	Acabado: brillo intenso y altamente pigmentado.
•	Fragancia: exquisita fragancia de mango y vainilla.
•	Aplicador: aplicador con forma de punta que facilita una buena experiencia: fácil de aplicar, preciso y cómodo en los labios. ",7256196005,309970054625,920,Power Up,Disponible hasta agotar stock
Revlon Cosmetics,Maquillaje para LABIOS,Delineador para Labios,ColorStay, ColorStay Lipliner,Delineador para Labios,Delineador de labios retráctil que provee larga duración y ayuda a que el color de los labios dure más tiempo. También ayuda a prevenir el agrietado del color. Contiene sacapuntas para un punta más precisa.  ,"Larga duración
Retráctil
Contiene sacapuntas",7262701030,309975822267,685,Natural,Regular
