Id Producto,Código,SKU,Código EAN / UPC,Nombre,Variante,Marca,Tags de Producteca,Id Publicación MercadoLibre,Notas
94361541,K443,K443,"8470001915528,8429420152120",Combo Isdin Cuidado de Manos Si Nails + Ureadin Hand Cream,,ISDIN,Cremas para manos y pies,MLA919061865,"Combo Isdin Cuidado de Manos Si Nails + Ureadin Hand Cream
 
 Isdin Si Nails Pincel Fortalecedor De Uñas Protege y Mejora
 Para tener unas uñas sanas y bonitas no solo tienen que ser duras sino que también tienen que tener un componente flexible. El agua y los lípidos son lo que contribuyen a dar flexibilidad a la uña. Tiene que haber un equilibrio entre la dureza y la flexibilidad.
 Las uñas frágiles o quebradizas se presentan cuando aparece una alteración de la consistencia de las uñas. Lo que provoca debilidad, poca resistencia a posibles traumas con descamación y/o fractura. Se conoce como el síndrome de la uña frágil.
 Para el cuidado específico de las uñas Isdin presenta el fortalecedor de uñas Si-Nails. Su formato en forma de click pen permite una fácil y cómoda aplicación con un acabado invisible. Está específicamente desarrollado para proteger y mejorar la apariencia de las uñas y cutículas, devolviéndoles un aspecto natural.
 Los estudios realizados muestran que en tan solo 14 días se obtienen resultados visibles. Aún así, desde Leloir recomendamos el uso durante 1 o 3 meses para mejores resultados. Sé constante y úsalo a diario para obtener los mejores resultados.
 Para todas aquellas personas que presentan uñas débiles y frágiles o que están en constante contacto diario con productos irritantes y quieren prevenir unas uñas quebradizas.
 
 - Promueve el crecimiento de la uñas y aumenta su resistencia, ayudando a evitar su rotura
 - Favorece la remineralización y reestructuración de las uñas, gracias al aumento de la cantidad y calidad de Silicio y Queratina
 - Devuelve el aspecto natural a las uñas y cutículas
 - Acabado invisible y de fácil aplicación
 - Promueve la flexibilidad de las uñas y proporciona hidratación a las cutículas
 - 1 click – 1 uña
 
 COMPOSICIÓN:
 Ácido Hialurónico Catiónico: Una parte clave de tener unas manos bonitas es tener uñas y cutículas hidratadas. Isdin Si-Nails contiene ácido hialurónico catiónico que tiene un gran potencial de adhesión a la piel y uñas, permitiendo mantener su capacidad de hidratación durante más tiempo.
 Aceite de Lentisco (Pistacia Lentiscus): Aumenta la unión de queratinas y proteínas y aumenta el grosor de las uñas, fortaleciéndolas.
 Silicio Orgánico: La uña de forma natural contiene Silicio, el cual es clave para que las uñas crezcan en buen estado y libre de imperfecciones. Penetra fácilmente en las uñas favoreciendo el crecimiento y la calidad de las uñas consiguiendo así unas uñas más bellas y libres de imperfecciones.
 
 MODO DE USO:
 La primera vez que utilices el producto realiza varias pulsaciones (15 veces aproximadamente) hasta que se humedezca el pincel aplicador. Una vez el pincel esté humedecido, sigue los siguientes pasos:
 1. Pasa el pincel humedecido por todo el borde de la uña y cutícula.
 2. Pasa el pincel con movimientos verticales de adentro hacia afuera, cubriendo toda la superficie de la uña.
 3. En caso de que sea posible, pasa el pincel por debajo de la uña.
 4. Pulsa el producto (haz click) y repite los pasos anteriores en la siguiente uña. Una vez comenzado a utilizar el producto, solo es necesario una pulsación por uña.
 Para obtener mejores resultados recomendamos aplicar todos los días sobre las uñas limpias (sin esmalte) y secas.
 
 PRESENTACIONES:
 Envases de 2,5ml
 
 
 Isdin Ureadin Manos Plus Repair 50ml
 ISDIN Ureadin Manos. Crema de manos reparadora
 Crema de manos. Repara, hidrata, y suaviza. Crema de manos con urea. Hidrata en profundidad y repara.
 
 Beneficios:
 - Reduce la pérdida de agua y ayuda a mantener unos niveles óptimos de hidratación. 
 - Mejora la función barrera, el sistema inmune y mejora la función mecánica y flexibilidad de la piel.
 - Producción de colágeno y otras proteínas de las células de la piel.
 - Antioxidantes, regeneradores y anti-edad.
 
 Reduce la pérdida de agua y ayuda a mantener unos niveles óptimos de hidratación. Mejora la función barrera, el sistema inmune y mejora la función mecánica y flexibilidad de la piel. Producción de colágeno y otras proteínas de las células de la piel. Antioxidantes, regeneradores y anti-edad. 
 
 Ingeredientes:
 Aqua (Water), Glycerin, Cyclopentasiloxane, Cetearyl Alcohol, Panthenol, Urea, Paraffinum Liquidum (Mineral Oil), Petrolatum, Lactic Acid, Ammonium Acryloyldimethyltaurate/VP Copolymer, Phenoxyethanol, Dimethicone Crosspolymer, Octyldodecanol, Sodium Cetearyl Sulfate, Sodium Hydroxide, Ethylhexylglycerin, Parfum (Fragrance), Limonene, Hexyl Cinnamal, Ubiquinone, Coumarin, Citral, Linalool, Alpha-Isomethyl Ionone, Isoeugenol.
 
 Modo de uso/ Modo de aplicación:
 Aplicar una pequeña cantidad sobre la piel y masajear hasta su absorción. Testeado dermatológicamente."
92000938,K402,K402,,Combo Isdin Foto Ultra Age Repair Fps50 + K-ox eyes,,ISDIN,,MLA907269981,"Combo Isdin Foto Ultra Age Repair Fps50 50ml + Isdinceutics K-OX Eyes 15ml
 
 - Fotoprotector facial de fase acuosa que aporta hidratación intensa, absorción inmediata y ofrece una triple acción antifotoenvejecimiento: protege, repara y revierte. ALTA PROTECCIÓN UV
 Protección SPF50 UVB y UVA evaluada clínicamente en condiciones reales de alta radiación solar. NO IRRITA LOS OJOS
 
 TOLERANCIA ÓPTIMA
 Apto para todo tipo de pieles.
 
 WET SKIN
 Puede aplicarse sobre la piel húmeda.
 
 SEA FRIENDLY
 Fórmula con la mayoría de ingredientes biodegradables y/o inorgánicos.}
 
 TIPO DE PIEL:
 Todo tipo de piel. Funciona muy bien en pieles mixtas y/o grasas
 
 ZONA DE APLICACIÓN:
 Facial
 
 TIPO DE PRODUCTO:
 Crema
 
 Consejos de APLICACIÓN:
 Aplicar generosamente sobre la piel seca o mojada, media hora antes de la exposición solar, y reaplicar cada 2 horas. Tras transpirar, nadar, o secarse con la toalla, repetir aplicación. Si no se aplica la cantidad suficiente de producto, se reduce el factor de protección.
 
 Consejo importante para agregar:
 1. PROTEGE: Alta protección UV que ayuda a prevenir el daño solar. Su innovadora fórmula protege la piel de la polución urbana. 2. REPARA
 Contribuye a la reparación del daño solar acumulado a nivel celular. 3. REVIERTE
 Reduce las arrugas y mejora la luminosidad, hidratación y elasticidad de la piel. 
 
 COMPOSICIÓN:
 Aqua (Water), Ethylhexyl Methoxycinnamate, Butylene Glycol, Propylene Glycol, Polymethyl Methacrylate, Dimethicone, PEG-8, Butyl Methoxydibenzoylmethane, Glycerin, Ethylhexyl Triazone, Silica, Phenoxyethanol, Titanium Dioxide, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Tocopheryl Acetate, Allantoin, Propanediol, Ethylhexylglycerin, Parfum (Fragrance), Sodium Hyaluronate, Sodium Hydroxide, Carbomer, Disodium EDTA, Hydroxypropyl Cyclodextrin, Tocopherol, BHT, Lecithin, Plankton Extract, Ascorbyl Palmitate, Sodium Benzoate, Ascorbic Acid, Citric Acid, Palmitoyl Tripeptide-38, Pentapeptide-34 Trifluoroacetate
 
 PACK:
 50ML
 
 
 
 - Reduce las bolsas, aclara el color de las ojeras y restaura la elasticidad de la piel. Sus efectos se perciben inmediatamente aportando un efecto tensor y difuminando las ojeras. Su uso continuado disminuye el volumen de las bolsas y atenúa gradualmente el color morado o pigmentado de las ojeras. Además, protege de la pérdida de hidratación, mejorando las líneas de expresión y consiguiendo una mirada más descansada y luminosa. 
 
 TIPO DE PIEL:
 Todo tipo de piel
 
 ZONA DE APLICACIÓN:
 Ojos
 
 TIPO DE PRODUCTO:
 crema
 
 Consejos de APLICACIÓN:
 Aplicar diariamente el producto extendiéndolo suavemente y con ligeros toques de las yemas de los dedos sobre las bolsas y ojeras hasta su completa absorción
 
 Consejo importante para agregar:
 
 
 COMPOSICIÓN:
 
 
 PACK:
 15ML"
92000939,K403,K403,,Combo Isdin Fusion Water Urban FPS30 + Flavo-c Ultraglican,,ISDIN,,MLA907268765,"Combo Isdin Fusion Water Urban FPS30 50ml + Isdinceutics Flavo-c Ultraglican 10 Ampollas
 
 - Fotoprotector ISDIN Fusion Water Urban SPF 30
  
  Fotoprotección ultraligera de uso diario para entornos urbanos. Fotoprotector facial de fase acuosa y textura ultraligera que protege la piel del daño oxidativo inducido por la polución urbana y ofrece una protección reforzada frente a UVA y Luz Azul. Proporciona una mejora en los signos de fatiga en la piel aportándole luminosidad y aspecto saludable.
  
  BENEFICIOS:
  
  PROTECCIÓN URBANA: Protección ideal para entornos urbanos. Alta protección UV con SPF30. Protección reforzada UVA y Luz Azul. Antipolución.
  NO IRRITA LOS OJOS: Evaluado bajo control oftalmológico.
  TOLERANCIA ÓPTIMA: Textura ultraligera de absorción inmediata que no deja residuo. Base ideal de maquillaje. Apto para todo tipo de pieles, incluida piel atópica.Oil-free. No comedogénico. 
  
  WET SKIN:Puede aplicarse sobre piel húmeda. Especialmente diseñado para integrarse en la rutina de belleza diaria. 
  
  SEA FRIENDLY:Fórmula con ingredientes biodegradables.
  Fusion Water Urban protege la piel del daño oxidativo inducido por la polución urbana y ofrece una protección reforzada frente a UVA y Luz Azul. Su fórmula contiene un complejo de activos antioxidantes que actúa contra la síntesis de melanina y proporcionan una mejora en los signos de fatiga en la piel aportándole luminosidad y un aspecto saludable.
  
  Modo de uso/ Modo de aplicación:
  
  Aplicar generosamente sobre la piel seca como último paso de la rutina de cuidado de la piel, antes del maquillaje. Si la exposición solar es superior a dos horas, recomendamos reaplicar el producto.
  
  
  Modo de uso: 
 Aplicar generosamente sobre la piel seca como último paso de la rutina de cuidado de la piel, antes del maquillaje. Si la exposición solar es superior a dos horas, recomendamos reaplicar el producto.
 
 - Ampollas Antioxidantes e Hidratantes con Vitamina C y Ultraglicanos
  
  Solución facial en ampollas con una avanzada asociación de antioxidantes e hidratantes que actúa visiblemente sobre la pérdida de firmeza y sobre las líneas finas de expresión.
  
  Beneficios:
  Ayuda a recuperar la luminosidad en la piel, facilita la recuperación de la elasticidad y retrasa visiblemente los primeros signos de envejecimiento. 
  Vitamina C, que ayuda a prevenir los efectos de los rayos UV y favorece la síntesis de colágeno.
  Su contenido en Ultraglicanos, combinación de proteoglicanos y pre-proteoglicanos, ayuda a acelerar la producción de ácido hialurónico y proporciona una mayor hidratación. 
  
  Modo de uso:
  Agitar antes de usar. Utilizar cada mañana sobre la piel limpia y seca. Aplicar ½ ampolleta sobre cara, cuello y escote evitando el contorno de los ojos y realizar un ligero masaje hasta que el producto se absorba completamente. Una vez abierta se recomienda su uso durante las siguientes 24 horas para mantener la efectividad.
  
  Ingredientes:
  Vitamina C
  Ultraglicanos"
167569728,P34191,P34191,8429420184558,Crema Corporal Isdin Woman Reafirmante 200ml,,ISDIN,Productos para el cuidado corporal,MLA1158582379,"WOMAN ISDIN Reafirmante
 Reafirma, remodela y tonifica tu piel tras el embarazo o pérdidas de masa corporal
 Woman ISDIN® Reafirmante es una crema corporal reafirmante de rápida absorción con Aceite de Rosa Mosqueta que hidrata intensamente y mejora la firmeza y apariencia de la piel.
 
 Beneficios:
 Reafirma, remodela y tonifica la piel. 
 97% piel más lisa*
 94% piel más firme*
 98% piel más hidratada*
 Trata la flacidez cutánea (postparto, adelgazamiento, dieta). Recomendado para combatir la flacidez cutánea.
 Estimula la regeneración de los tejidos.Mejora la firmeza y apariencia de la piel. 
 Hidrata intensamente y tiene un efecto antioxidante. Hidrata intensamente la piel y estimula la regeneración de tejidos.
 Ayuda a atenuar las estrías recientes.
 Con ingredientes naturales.
 
 Composición:
 Triterpenos de Centella asiática 0,1%: Estimula la biosíntesis de colágeno y la producción de fibronectina 
 Aceite de rosa mosqueta: Rico en ácidos grasos esenciales (linoleico y linolénico) que activa las prostaglandinas
 Hidroxiprolisilano CN: Mejora la organización de las fibras que unen tejido elástico y colágeno.
 Proteasyl: Reafirmante
 Vitamina E: Antioxidante
 
 Modo de uso:
 Uso externo. Se recomienda aplicar 2 veces al día sobre las zonas distendidas masajeando suavemente hasta que la crema se absorba. Aplicar preferentemente sobre la piel limpia y seca. 
 Precauciones: Mantenga el producto fuera del alcance de los niños. Evitar el contacto con ojos y mucosas.
 Testado dermatológicamente. No sensibilizante."
90857759,P3733,P3733,8429420078581,FOTOPROTECTOR Isdin Foto Ultra Active Unify Color SPF99 50ml,,ISDIN,Protectores solares,MLA885671997,"Foto Ultra 99 ISDIN Active Unify COLOR Fusion Fluid SPF 99
 
 Ayuda a aclarar y unificar tu tono de piel. Ayuda a reducir y a prevenir las alteraciones pigmentarias debidas al sol.
 
 Beneficios:
 Ayuda a regular la producción de melanina gracias al DP3-Unify Complex, que actúa sobre las principales fases de la melanogénesis.
 Unifica tu tono de piel gracias a su formulación con color.
 Ofrece una protección 2 veces superior al mínimo requerido en un protector solar SPF 50+ frente a los rayos UVA, que estimulan el proceso de pigmentación. SPF 99 UVA 49.
 Su textura Fusion Fluid se funde con tu piel.
 Con Color
 Exclusiva fórmula tixotrópica que, a través del calor y la fricción en la aplicación, se vuelve más fluida y se funde con tu piel. Notarás su rápida absorción y una increíble sensación de ligereza. Para todo tipo de piel.
 
 Modo de uso/ Modo de aplicación:
 Aplicar por la mañana y mediodía. Reaplicar cada 2 horas y tan frecuentemente como sea necesario. Para un resultado óptimo, aplicar durante 3 meses.
 
 Ingeredientes:
 Aqua (Water), Dibutyl Adipate, Cyclopentasiloxane, Octocrylene, Niacinamide, Alcohol Denat., Titanium Dioxide [nano], Butyl Methoxydibenzoylmethane, Cyclohexasiloxane, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, PEG-30 Dipolyhydroxystearate, Glycerin, Nylon-12, PEG-10 Dimethicone, Sodium Chloride, Phenoxyethanol, Silica, Dimethicone, Phenylethyl Resorcinol, Disteardimonium Hectorite, Panthenol, Tocopheryl Acetate, Allantoin, Glyceryl Stearate, Parfum (Fragrance), Aluminum Hydroxide, Disodium EDTA, Ethylhexylglycerin, Dimethiconol, PEG-8, Sodium Lauroyl Glutamate, Lysine, Tocopherol, Magnesium Chloride, Tetrapeptide-30, Ascorbyl Palmitate, Ascorbic Acid, Citric Acid, CI 77891 (Titanium Dioxide), CI 77492 (Iron Oxides), CI 77491 (Iron Oxides), CI 77499 (Iron Oxides)"
90857765,P3743,P3743,8429420093232,FOTOPROTECTOR Isdin Foto Ultra Active Unify SPF99 50ml,,ISDIN,Protectores solares,MLA885670991,"Foto Ultra 99 ISDIN Active Unify Fusion Fluid SPF 99
 
 Ayuda a aclarar y unificar tu tono de piel. Ayuda a reducir y a prevenir las alteraciones pigmentarias debidas al sol.
 
 Beneficios:
 Ofrece una protección 2 veces superior al mínimo requerido en un protector solar SPF 50+ frente a los rayos UVA, que estimulan el proceso de pigmentación. SPF 50+ UVA 49.
 Su textura Fusion Fluid se funde con tu piel.
 Sin Color
 Exclusiva fórmula tixotrópica que, a través del calor y la fricción en la aplicación, se vuelve más fluida y se funde con tu piel. Notarás su rápida absorción y una increíble sensación de ligereza. Para todo tipo de piel.
 
 Modo de uso/ Modo de aplicación:
 Aplicar por la mañana y mediodía. Reaplicar cada 2 horas y tan frecuentemente como sea necesario. Para un resultado óptimo, aplicar durante 3 meses.
 
 Ingeredientes:
 Aqua (Water), Dibutyl Adipate, Cyclopentasiloxane, Octocrylene, Niacinamide, Alcohol Denat., Titanium Dioxide [Nano], Butyl Methoxydibenzoylmethane, Cyclohexasiloxane, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Butylene Glycol, PEG-30 Dipolyhydroxystearate, Glycerin, Nylon-12, PEG-10 Dimethicone, Sodium Chloride, Phenoxyethanol, Silica, Dimethicone, Phenylethyl Resorcinol, Disteardimonium Hectorite, Panthenol, Tocopheryl Acetate, Allantoin, Glyceryl Stearate, Parfum (Fragrance), Disodium EDTA, Ethylhexylglycerin, Sodium Hyaluronate, Dimethiconol, PEG-8, Tocopherol, Tetrapeptide-30, Ascorbyl Palmitate, Ascorbic Acid, Citric Acid"
90857762,P3732,P3732,8429420077959,FOTOPROTECTOR Isdin Foto Ultra Solar Allergy Spf 99 50ml,,ISDIN,Protectores solares,MLA885670623,"Foto Ultra 99 ISDIN Solar Allergy Fusion Fluid
 
 Previene y alivia los síntomas asociados a la alergia solar. Muy Alto UVB y UVA
 
 Beneficios:
 Previene y alivia de los síntomas asociados a la alergia solar y otros tipos de fotodermatosis. Especialmente indicado para pieles reactivas al sol.
 Alivia los síntomas asociados a la alergia solar, como el picor y la inflamación, y protege frente la luz visible.
 Ofrece una protección 2 veces superior al mínimo requerido en un protector solar SPF 50+ frente a los rayos UVA.
 Con ectoína al 1%, que proporciona un efecto hardening a la piel, haciéndola más resistente frente a las agresiones de la radiación UV.
 Su textura Fusion Fluid se funde con tu piel.
 
 
 Modo de uso/ Modo de aplicación:
 Aplicar el producto sobre la piel limpia y seca. Reaplicar cada 2 horas mientras se esté expuesto al sol. Empezar el tratamiento 15-30 días antes de la exposición al sol y continuar durante todo el período de exposición. En pacientes que estén tomando medicamentos fotosensibilizantes: aplicar durante todo el período de exposición.
 
 Ingeredientes:"
90857768,P3735,P3735,8429420079717,FOTOPROTECTOR Isdin Foto Ultra Spot Prevent Spf 99 50ml,,ISDIN,Protectores solares,MLA885671996,"Foto Ultra 99 ISDIN Spot Prevent Fusion Fluid SPF 99
 
 Fotoprotector facial fluido que ofrece 3 veces más protección UVA que el mínimo requerido en un SPF 99. Ésta muy alta protección ayuda a prevenir la formación de manchas debidas al sol, al ser la radiación UV el principal estímulo de la formación de pigmentación. Previene las manchas del sol.
 
 Beneficios:
 Ofrece una protección 3 veces superior al mínimo requerido en un protector solar SPF 50+ frente a los rayos UVA y UVB, que estimulan el proceso de pigmentación.
 Previene las manchas debidas al sol y las manchas del embarazo. Pre y post procedimientos láser.
 Mejora la elasticidad de la piel y disminuye las arrugas gracias al ácido hialurónico.
 Su textura Fusion Fluid se funde con tu piel.
 Apto para piel atópica y piel sensible. No comedogénico y Oil free.
 Exclusiva fórmula tixotrópica que, a través del calor y la fricción en la aplicación, se vuelve más fluida y se funde con tu piel. Notarás su rápida absorción y una increíble sensación de ligereza. Para todo tipo de piel.
 
 Modo de uso/ Modo de aplicación:
 Agitar antes de usar. Aplicar generosamente sobre la piel limpia y seca media hora antes de la exposición solar. Reaplicar cada 2 horas y tras transpirar, nadar, bañarse, secarse con toalla durante la exposición al sol. Al reducir esta cantidad, se reduce el factor de protección. 
 
 Ingeredientes:
 Aqua (Water), Dibutyl Adipate, Cyclopentasiloxane, Octocrylene, Alcohol Denat., Titanium Dioxide [nano], Butyl Methoxydibenzoylmethane, Cyclohexasiloxane, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Butylene Glycol, PEG-30 Dipolyhydroxystearate, Nylon-12, PEG-10 Dimethicone, Sodium Chloride, Phenoxyethanol, Silica, Dimethicone, Disteardimonium Hectorite, Panthenol, Tocopheryl Acetate, Allantoin, Glyceryl Stearate, Parfum (Fragrance), Disodium EDTA, Ethylhexylglycerin, Sodium Hyaluronate, Dimethiconol, PEG-8, Tocopherol, Ascorbyl Palmitate, Ascorbic Acid, Citric Acid."
136764165,P31645,P31645,8429420214460,Foto Ultra Age Repair + Age Reverse 7ml De Regalo,,ISDIN,,MLA1125108088,"Fotoprotección ultraligera de uso diario con triple acción antifotoenvejecimiento + REGALO: A.G.E Reverse Day 7ml: Tratamiento con triple acción acción antiedad: antipolución, remodelante y antiglicación.
 
 Beneficios:
 Cuidado facial antiage y remodelante
 
 Ingeredientes:
 Aqua (Water), Octocrylene, Propanediol, Ethylhexyl Salicylate, Butyl Methoxydibenzoylmethane, Polymethyl Methacrylate, Dimethicone, Phenylbenzimidazole Sulfonic Acid, Polysilicone-15, Propylene Glycol Dicaprylate/Dicaprate, Tromethamine, Glycerin, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Silica, Dimethicone/Vinyl Dimethicone Crosspolymer, Butylene Glycol, 1,2-Hexanediol, Polysorbate 60, PEG-10 Dimethicone, Sodium Hyaluronate, Tocopheryl Acetate, Xanthan Gum, Caprylyl Glycol, Parfum (Fragrance), Disodium EDTA, PEG-8, Carbomer, Polysorbate 20, Sodium Lactate, Tocopherol, Phenoxyethanol, Tropolone, Lecithin, Plankton Extract, Ascorbyl Palmitate, Sodium Benzoate, Ascorbic Acid, Citric Acid, Palmitoyl Tripeptide-1, Palmitoyl Tetrapeptide-7, Pentapeptide-34 Triﬂuoroacetate
 
 Modo de uso/ Modo de aplicación:
 A.G.E Reverse: Aplicar directamente sobre la piel limpia y seca en rostro y cuello, extendiéndola hasta su completa absorción. Luego, aplicar fotoprotector Age Repair SPF 50 sobre rostro, cuello y escote."
125981593,P31299,P31299,8429420214408,Fotoprotector Fusion Water Spf50 + 1 Amp Hyaluronic Booster,,ISDIN,Protectores solares,MLA1117579939,"Isdin Pack Fotoprotector Facial Fusion Water SPF50 50ml + 1 ampolla Hyaluronic Booster
 
 - Fotoprotector ISDIN Fusion Water SPF50 50ml
 Fotoprotección ultraligera de uso diario para actividades al aire libre
 Fotoprotector facial de fase acuosa que aporta hidratación intensa, absorción inmediata y garantiza una alta protección frente a la radiación UV.
 
 Beneficios:
 Fórmula mejorada
 
 - ALTA PROTECCIÓN UV
 Protección SPF50 UVB y UVA evaluada clínicamente en laboratorio y en condiciones reales de alta radiación solar.
 
 - NO IRRITA LOS OJOS
 Evaluado bajo control oftalmológico.
 
 - TOLERANCIA ÓPTIMA
 Textura ultraligera de absorción inmediata e hidratación intensa que no deja residuo.
 Apto para todo tipo de pieles incluida piel atópica.
 Fórmula oil-free.
 
 - WET SKIN
 Puede aplicarse sobre piel húmeda. 
 
 - SEA FRIENDLY
 Fórmula con la mayoría de ingredientes biodegradables y/o inorgánicos.
 
 Modo de uso:
 Aplicar generosamente sobre la piel seca o mojada, media hora antes de la exposición solar, y reaplicar cada 2 horas. Tras transpirar, nadar, o secarse con la toalla, repetir aplicación. Si no se aplica la cantidad suficiente de producto, se reduce el factor de protección.
 
 Composición
 Aqua (Water), Octocrylene, Ethylhexyl Salicylate, Propanediol, Butyl Methoxydibenzoylmethane, Polymethyl Methacrylate, Dimethicone, Phenylbenzimidazole Sulfonic Acid, Polysilicone-15, Propylene Glycol Dicaprylate/Dicaprate, Tromethamine, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Silica, Dimethicone/Vinyl Dimethicone Crosspolymer, 1,2-Hexanediol, Polysorbate 60, PEG-10 Dimethicone, Sodium Hyaluronate, Tocopheryl Acetate, Xanthan Gum, Caprylyl Glycol, Parfum (Fragrance), Disodium EDTA, PEG-8, Tocopherol, Tropolone, Ascorbyl Palmitate, Ascorbic Acid, Citric Acid
 
 
 - Isdin Isdinceutics Hyaluronic Booster Serum Hidratante 1 Ampolla
 Solución facial en ampollas con una avanzada combinación de dos moléculas de ácido hialurónico, de medio y bajo peso molecular, que ayudan a la piel a recuperar sus niveles de hidratación para conseguir una piel radiante e hidratada.
  
 Tipo de piel:
 Todo tipo de piel
  
 Zona de aplición:
 Facial
  
 Contenido:
 1 Ampolla
  
 Tipo de producto:
  Ampollas
  
  Consejos de APLICACIÓN:
  Utilizar sobre la piel limpia y seca. Aplicar ½ ampolla sobre cara y cuello realizando un ligero masaje hasta que el producto se absorba completamente. . Uso tópico para todo tipo de pieles.
 
 Sérum hidratante y calmante intensivo
  
  Ingredientes: Aqua* (Water), Propanediol, 1,2-Hexanediol, Alcohol Denat., Butylene Glycol**, Sodium Benzoate, Disodium EDTA, Hydrolyzed Hyaluronic Acid, Sodium Hyaluronate, PPG-26-Buteth-26, Phenoxyethanol*, Biosaccharide Gum-1*, PEG-40 Hydrogenated Castor Oil, Parfum (Fragrance), Dextran**, Palmitoyl Tripeptide-8**."
