CATEGORIA ,EAN,MARCA ,FRANQUICIA ,TITULO  ,TIPO DE PRODUCTO ,DESCRIPCION CORTA ,DESCRIPCIÓN LARGA,INFO ADICIONAL,PRESENTACION/ COMPOSICION ,BENEFICIO 1,BENEFICIO 2,BENEFICIO 3,MODO DE APLICACIÓN,CROSSELLING,KEY WORD PARA SEARCH,HIPOALERGENICO,TIPO DE PIEL,EJE,CODIGO HEXA,Pack Size,Pack Size UOM
MAKE UP ,7899026420458,MNY ,Coverstick Lápiz Corrector,Coverstick Lápiz Corrector,Corrector,"El corrector en barra Coverstick, de Maybelline, cubre por completo las manchas, ojeras y otras imperfecciones. Textura ultra-cremosa, que no tapa los poros, y a prueba de agua.",,,,Máxima cobertura,A prueba de agua,,Deslizá el lápiz en la parte más oscura de tus ojeras y esfumalo con pequeños golpeteos con la yema de tus dedos.,41554492071; 7702433312172; 7790033202306; 7899026423534; 7899026450196; 7899026405004,"maybelline, maybelin, Corrector; anti ojeras; antiojeras; base de ojos",0,Todo tipo de piel,Rostro,0,3.7,g
MAKE UP ,7899026417496,MNY ,Coverstick Lápiz Corrector,Coverstick Lápiz Corrector,Corrector,"El corrector en barra Coverstick, de Maybelline, cubre por completo las manchas, ojeras y otras imperfecciones. Textura ultra-cremosa, que no tapa los poros, y a prueba de agua.",,,,Máxima cobertura,A prueba de agua,,Deslizá el lápiz en la parte más oscura de tus ojeras y esfumalo con pequeños golpeteos con la yema de tus dedos.,41554492071; 7702433312172; 7790033202306; 7899026423534; 7899026450196; 7899026405004,"maybelline, maybelin, Corrector; anti ojeras; antiojeras; base de ojos",0,Todo tipo de piel,Rostro,0,3.7,g
MAKE UP ,3017566810025,MNY ,Super Stay 24hs,Super Stay 24hs Concealer,Corrector,"¡Corrector larga duración! Lográ una cobertura de hasta por 24 hs con el corrector Super Stay 24hs, de Maybelline. No se transfiere!",,,,Larga duración,Sin aceites,,Aplica el corrector con leves toquecitos sobre las imperfecciones o debajo de los ojos. Difumínalo con los dedos.,41554209570; 7790033235816; 30140028; 3600531280246; 41554459906; 3600531365790,"maybelline, maybelin, Corrector; anti ojeras; antiojeras; base de ojos",0,Todo tipo de piel,Rostro,0,7.5,ml
MAKE UP ,3017566810032,MNY ,Super Stay 24hs,Super Stay 24hs Concealer,Corrector,"¡Corrector larga duración! Lográ una cobertura de hasta por 24 hs con el corrector Super Stay 24hs, de Maybelline. No se transfiere!",,,,Larga duración,Sin aceites,,Aplica el corrector con leves toquecitos sobre las imperfecciones o debajo de los ojos. Difumínalo con los dedos.,41554209570; 7790033235816; 30140028; 3600531280246; 41554459906; 3600531365790,"maybelline, maybelin, Corrector; anti ojeras; antiojeras; base de ojos",0,Todo tipo de piel,Rostro,0,7.5,ml
MAKE UP ,3600530791910,MNY ,Dream Fresh BB,Dream Fresh BB,BB Cream,"¡Combiná los beneficios del cuidado facial con los del maquillaje en 1 paso! La BB cream Dream Fresh, de Maybelline, cuenta con 8 increíbles beneficios: hidrata, suaviza, ilumina, minimiza imperfecciones, cubre sin pesadez, no tiene aceites, y se adapta al tono de piel.",,,,Combina los beneficios del cuidado facial con los del maquillaje,FPS 30,,"Aplicá tu BB Cream ayudándote de tus dedos, distribuyendo el producto desde la frente y los pómulos, hacia el resto del rostro.",3600530714308; 41554443493; 41554492644; 41554198225; 3600531393809; 30116238,"maybelline, Foundation; base; base reparadora; cobertura",0,Todo tipo de piel,Rostro,0,30,ml
MAKE UP ,41554442670,MNY ,Better Skin,Super Stay Better Skin Base de Maquillaje,Base de maquillaje,"Con su fórmula con Actyl C, la bese Better Skin, de Maybelline, ayuda a reducir las imperfecciones, opacidad, manchas y resequedad. Tu piel se verá más suave, fresca y radiante en solo tres semanas.",,,,Larga duración,Anti-imperfecciones,,"Con la ayuda de tus dedos, aplicá la base en tu rostro, extendiéndola como si fuera una crema hidratante: desde el centro hacia los laterales, incluyendo el cuello. Si lo deseás, también podés ayudarte con una esponjita.",41554442786; 41554483703; 41554443493; 7899026423534; 41554434866; 41554429923,"maybelline, Foundation; base; base reparadora; cobertura",0,Todo tipo de piel,Rostro,0,30,ml
MAKE UP ,41554442687,MNY ,Better Skin,Super Stay Better Skin Base de Maquillaje,Base de maquillaje,"Con su fórmula con Actyl C, la bese Better Skin, de Maybelline, ayuda a reducir las imperfecciones, opacidad, manchas y resequedad. Tu piel se verá más suave, fresca y radiante en solo tres semanas.",,,,Larga duración,Anti-imperfecciones,,"Con la ayuda de tus dedos, aplicá la base en tu rostro, extendiéndola como si fuera una crema hidratante: desde el centro hacia los laterales, incluyendo el cuello. Si lo deseás, también podés ayudarte con una esponjita.",41554442786; 41554483703; 41554443493; 7899026423534; 41554434866; 41554429923,"maybelline, Foundation; base; base reparadora; cobertura",0,Todo tipo de piel,Rostro,0,30,ml
MAKE UP ,41554442717,MNY ,Better Skin,Super Stay Better Skin Base de Maquillaje,Base de maquillaje,"Con su fórmula con Actyl C, la bese Better Skin, de Maybelline, ayuda a reducir las imperfecciones, opacidad, manchas y resequedad. Tu piel se verá más suave, fresca y radiante en solo tres semanas.",,,,Larga duración,Anti-imperfecciones,,"Con la ayuda de tus dedos, aplicá la base en tu rostro, extendiéndola como si fuera una crema hidratante: desde el centro hacia los laterales, incluyendo el cuello. Si lo deseás, también podés ayudarte con una esponjita.",41554442786; 41554483703; 41554443493; 7899026423534; 41554434866; 41554429923,"maybelline, Foundation; base; base reparadora; cobertura",0,Todo tipo de piel,Rostro,0,30,ml
MAKE UP ,41554488395,MNY ,Better Skin,Super Stay Better Skin Base de Maquillaje,Base de maquillaje,"Con su fórmula con Actyl C, la bese Better Skin, de Maybelline, ayuda a reducir las imperfecciones, opacidad, manchas y resequedad. Tu piel se verá más suave, fresca y radiante en solo tres semanas.",,,,Larga duración,Anti-imperfecciones,,"Con la ayuda de tus dedos, aplicá la base en tu rostro, extendiéndola como si fuera una crema hidratante: desde el centro hacia los laterales, incluyendo el cuello. Si lo deseás, también podés ayudarte con una esponjita.",41554442786; 41554483703; 41554443493; 7899026423534; 41554434866; 41554429923,"maybelline, Foundation; base; base reparadora; cobertura",0,Todo tipo de piel,Rostro,0,30,ml
MAKE UP ,41554209570,MNY ,Super Stay 24hs,Super Stay 24hs Base de Maquillaje,Base de maquillaje,"Gracias a su fórmula micro-flexible, la base Super Stay 24hs, de Maybelline, es 100% resistente al calor, humedad y roces, ofreciendo una cobertura perfecta hasta por 24hs.",,,,Larga duración,Sin aceites,,Aplícala uniformemente en el rostro y difumina con las yemas de los dedos.,3017566810025; 7790033235816; 30140028; 3600531280246; 41554493719; 3600531365837,"maybelline, Foundation; base; base reparadora; cobertura",0,Todo tipo de piel,Rostro,0,30,ml
MAKE UP ,41554209563,MNY ,Super Stay 24hs,Super Stay 24hs Base de Maquillaje,Base de maquillaje,"Gracias a su fórmula micro-flexible, la base Super Stay 24hs, de Maybelline, es 100% resistente al calor, humedad y roces, ofreciendo una cobertura perfecta hasta por 24hs.",,,,Larga duración,Sin aceites,,Aplícala uniformemente en el rostro y difumina con las yemas de los dedos.,3017566810025; 7790033235816; 30140028; 3600531280246; 41554493719; 3600531365837,"maybelline, Foundation; base; base reparadora; cobertura",0,Todo tipo de piel,Rostro,0,30,ml
MAKE UP ,41554209549,MNY ,Super Stay 24hs,Super Stay 24hs Base de Maquillaje,Base de maquillaje,"Gracias a su fórmula micro-flexible, la base Super Stay 24hs, de Maybelline, es 100% resistente al calor, humedad y roces, ofreciendo una cobertura perfecta hasta por 24hs.",,,,Larga duración,Sin aceites,,Aplícala uniformemente en el rostro y difumina con las yemas de los dedos.,3017566810025; 7790033235816; 30140028; 3600531280246; 41554493719; 3600531365837,"maybelline, Foundation; base; base reparadora; cobertura",0,Todo tipo de piel,Rostro,0,30,ml
MAKE UP ,41554209617,MNY ,Super Stay 24hs,Super Stay 24hs Base de Maquillaje,Base de maquillaje,"Gracias a su fórmula micro-flexible, la base Super Stay 24hs, de Maybelline, es 100% resistente al calor, humedad y roces, ofreciendo una cobertura perfecta hasta por 24hs.",,,,Larga duración,Sin aceites,,Aplícala uniformemente en el rostro y difumina con las yemas de los dedos.,3017566810025; 7790033235816; 30140028; 3600531280246; 41554493719; 3600531365837,"maybelline, Foundation; base; base reparadora; cobertura",0,Todo tipo de piel,Rostro,0,30,ml
MAKE UP ,41554209556,MNY ,Super Stay 24hs,Super Stay 24hs Base de Maquillaje,Base de maquillaje,"Gracias a su fórmula micro-flexible, la base Super Stay 24hs, de Maybelline, es 100% resistente al calor, humedad y roces, ofreciendo una cobertura perfecta hasta por 24hs.",,,,Larga duración,Sin aceites,,Aplícala uniformemente en el rostro y difumina con las yemas de los dedos.,3017566810025; 7790033235816; 30140028; 3600531280246; 41554493719; 3600531365837,"maybelline, Foundation; base; base reparadora; cobertura",0,Todo tipo de piel,Rostro,0,30,ml
MAKE UP ,41554209600,MNY ,Super Stay 24hs,Super Stay 24hs Base de Maquillaje,Base de maquillaje,"Gracias a su fórmula micro-flexible, la base Super Stay 24hs, de Maybelline, es 100% resistente al calor, humedad y roces, ofreciendo una cobertura perfecta hasta por 24hs.",,,,Larga duración,Sin aceites,,Aplícala uniformemente en el rostro y difumina con las yemas de los dedos.,3017566810025; 7790033235816; 30140028; 3600531280246; 41554493719; 3600531365837,"maybelline, Foundation; base; base reparadora; cobertura",0,Todo tipo de piel,Rostro,0,30,ml
MAKE UP ,41554209587,MNY ,Super Stay 24hs,Super Stay 24hs Base de Maquillaje,Base de maquillaje,"Gracias a su fórmula micro-flexible, la base Super Stay 24hs, de Maybelline, es 100% resistente al calor, humedad y roces, ofreciendo una cobertura perfecta hasta por 24hs.",,,,Larga duración,Sin aceites,,Aplícala uniformemente en el rostro y difumina con las yemas de los dedos.,3017566810025; 7790033235816; 30140028; 3600531280246; 41554493719; 3600531365837,"maybelline, Foundation; base; base reparadora; cobertura",0,Todo tipo de piel,Rostro,0,30,ml
MAKE UP ,41554220087,MNY ,Instant Age Rewind Eraser,Instant Age Rewind Eraser Base de Maquillaje,Base de maquillaje,"La base Instant Age Rewind Eraser es la base de tratamiento antiedad de Maybelline. Fórmula activa y aplicador microcorrector que corrige al instante finas líneas de expresión, arrugas y manchas de la edad.",,,,Formula super concentrada reduce imperfecciones,FPS 18,,"Aplica la base directamente sobre el rostro con el Aplicador Microcorrector, difuminando con un movimiento hacia afuera según sea necesario.",41554259247; 41554459906; 41554220186; 41554434866; 41554203363; 41554453737,"maybelline, Foundation; base; base reparadora; cobertura",0,Todo tipo de piel,Rostro,0,20,ml
MAKE UP ,41554220117,MNY ,Instant Age Rewind Eraser,Instant Age Rewind Eraser Base de Maquillaje,Base de maquillaje,"La base Instant Age Rewind Eraser es la base de tratamiento antiedad de Maybelline. Fórmula activa y aplicador microcorrector que corrige al instante finas líneas de expresión, arrugas y manchas de la edad.",,,,Formula super concentrada reduce imperfecciones,FPS 18,,"Aplica la base directamente sobre el rostro con el Aplicador Microcorrector, difuminando con un movimiento hacia afuera según sea necesario.",41554259247; 41554459906; 41554220186; 41554434866; 41554203363; 41554453737,"maybelline, Foundation; base; base reparadora; cobertura",0,Todo tipo de piel,Rostro,0,20,ml
MAKE UP ,41554220155,MNY ,Instant Age Rewind Eraser,Instant Age Rewind Eraser Base de Maquillaje,Base de maquillaje,"La base Instant Age Rewind Eraser es la base de tratamiento antiedad de Maybelline. Fórmula activa y aplicador microcorrector que corrige al instante finas líneas de expresión, arrugas y manchas de la edad.",,,,Formula super concentrada reduce imperfecciones,FPS 18,,"Aplica la base directamente sobre el rostro con el Aplicador Microcorrector, difuminando con un movimiento hacia afuera según sea necesario.",41554259247; 41554459906; 41554220186; 41554434866; 41554203363; 41554453737,"maybelline, Foundation; base; base reparadora; cobertura",0,Todo tipo de piel,Rostro,0,20,ml
MAKE UP ,41554238679,MNY ,Fit Me,Fit Me Base de Maquillaje formato vidrio,Base de maquillaje,"Base fuida que se funde con tu tono de piel. La base Fit Me, de Maybelline, brinda una cobertura natural y liviana que permite que la piel respire, dando un acabado fresco y natural.",,,,Pigmentos ligeros que dan un acabado natural,FPS 18,,"Aplícala uniformemente en el rostro y difumínala con las yemas de los dedos, desde el centro hacia laterales y cuello. ",41554247718; 41554443493; 41554409093; 3600530730308; 41554459692; 3600530124862,"maybelline, Foundation; base; base reparadora; cobertura",0,Todo tipo de piel,Rostro,0,30,ml
MAKE UP ,41554238723,MNY ,Fit Me,Fit Me Base de Maquillaje formato vidrio,Base de maquillaje,"Base fuida que se funde con tu tono de piel. La base Fit Me, de Maybelline, brinda una cobertura natural y liviana que permite que la piel respire, dando un acabado fresco y natural.",,,,Pigmentos ligeros que dan un acabado natural,FPS 18,,"Aplícala uniformemente en el rostro y difumínala con las yemas de los dedos, desde el centro hacia laterales y cuello. ",41554247718; 41554443493; 41554409093; 3600530730308; 41554459692; 3600530124862,"maybelline, Foundation; base; base reparadora; cobertura",0,Todo tipo de piel,Rostro,0,30,ml
MAKE UP ,41554238730,MNY ,Fit Me,Fit Me Base de Maquillaje formato vidrio,Base de maquillaje,"Base fuida que se funde con tu tono de piel. La base Fit Me, de Maybelline, brinda una cobertura natural y liviana que permite que la piel respire, dando un acabado fresco y natural.",,,,Pigmentos ligeros que dan un acabado natural,FPS 18,,"Aplícala uniformemente en el rostro y difumínala con las yemas de los dedos, desde el centro hacia laterales y cuello. ",41554247718; 41554443493; 41554409093; 3600530730308; 41554459692; 3600530124862,"maybelline, Foundation; base; base reparadora; cobertura",0,Todo tipo de piel,Rostro,0,30,ml
