CATEGORIA ,MARCA ,EAN,FRANQUICIA ,SUBFRANQUICIA ,EJE,TITULO ,COLOR ,NUMERO,NOMBRE ,TIPO DE PRODUCTO ,DESCRIPCIÓN LARGA,BENEFICIOS ,MODO DE APLICACIÓN,TIPO DE PIEL,USO ,EFECTO ,HIPOALERGENICO,CROSSELLING,KEY WORD PARA SEARCH,Pack Size,Pack Size UOM,Pack Size UOM
MAKE UP ,L'OREAL PARIS ,3600523951390,Infallible,,Rostro,Base de Maquillaje en Polvo L'Oréal Paris Infaillible Tono Chasmere,,#REF!,Chasmere,Base de Maquillaje en Polvo,"¿Queres una base de alta cobertura pero con acabado matte?
Crea un acabado perfecto con la nueva INFAILLIBLE 24HS FRESH WEAR base en polvo de L’Oréal País. Descubri la base en polvo de un paso que cubre como una base líquida y a la vez te matifica como un polvo dando como resultado una piel perfecta con un look natural por 24 horas.

Conoce también toda nuestra línea de Infaillible 24hs:
Incluí a tu rutina nuestro amado corrector More Than a Concelaer de Infaillible 24hs Fresh Wear para crear un look de acabado perfecto , en tendencia y de larga duración",Larga duracion. A prueba de todo. Alta cobertura,"PASO 1:Aplicar Infaillible 24hs Fresh Wear base en polvo sobre la piel limpia e hidratada en todo el rostro y cuello para lograr un tono con acabado uniforme.
PASO 2: Aplicar a la piel con la esponja que trae el producto. La esponja permite aplicar a la piel la cantidad optima de producto para lograr un acabado parejo",Si,Día y Noche,,No,"30176546, 30176554","Maquillaje, base de maquillaje, base en polvo, infallible; Foundation; base; base reparadora; cobertura; base para piel grasa; base matificante; base en polvo; base de maquillaje; base cara; base loreal paris; maquillaje; base larga duración loreal; base rostro; base para maquillaje; base de maquillaje loreal; base loreal; loreal maquillaje; base loreal; rostro loreal; maquillaje rostro loreal",9,g,https://loreal.sharepoint.com/sites/-AR-ContenidoeCommerceDPGP/Documents%20partages/Forms/AllItems.aspx?csf=1&web=1&e=D34sGV&cid=a32c50b0%2D5625%2D4db6%2Db3d8%2Da4b9e55ba595&FolderCTID=0x012000F211C015EFB11442B50B93E86223B619&id=%2Fsites%2F%2DAR%2DContenidoeCommerceDPGP%2FDocuments%20partages%2FGeneral%2FContenido%20Loreal%20Consumo%20Masivo%2FCategor%C3%ADas%2F4%2E%20MAKE%20UP%2FLOREAL%20PARIS%2FROSTRO%2FBASES%2FINFAILLIBLE%2FINFAILLIBLE%20BASE%20EN%20POLVO%2F2%2E%20A%2B%20CONTENT%2FTONO%2040%20%2D%203600523951390&viewid=4c10b7ab%2D3dd4%2D43ab%2Db35c%2Dbc535dfbe16b
MAKE UP ,L'OREAL PARIS ,3600523951598,Infallible,,Rostro,Base de Maquillaje en Polvo L'Oréal Paris Infaillible Tono Golden Beige ,,#REF!,Golden Beige,Base de Maquillaje en Polvo,"¿Queres una base de alta cobertura pero con acabado matte?
Crea un acabado perfecto con la nueva INFAILLIBLE 24HS FRESH WEAR base en polvo de L’Oréal País. Descubri la base en polvo de un paso que cubre como una base líquida y a la vez te matifica como un polvo dando como resultado una piel perfecta con un look natural por 24 horas.

Conoce también toda nuestra línea de Infaillible 24hs:
Incluí a tu rutina nuestro amado corrector More Than a Concelaer de Infaillible 24hs Fresh Wear para crear un look de acabado perfecto , en tendencia y de larga duración",Larga duracion. A prueba de todo. Alta cobertura,"PASO 1:Aplicar Infaillible 24hs Fresh Wear base en polvo sobre la piel limpia e hidratada en todo el rostro y cuello para lograr un tono con acabado uniforme.
PASO 2: Aplicar a la piel con la esponja que trae el producto. La esponja permite aplicar a la piel la cantidad optima de producto para lograr un acabado parejo",Si,Día y Noche,,No,"30176546, 30176554","Maquillaje, base de maquillaje, base en polvo, infallible; Foundation; base; base reparadora; cobertura; base para piel grasa; base matificante; base en polvo; base de maquillaje; base cara; base loreal paris; maquillaje; base larga duración loreal; base rostro; base para maquillaje; base de maquillaje loreal; base loreal; loreal maquillaje; base loreal; rostro loreal; maquillaje rostro loreal",9,g,https://loreal.sharepoint.com/sites/-AR-ContenidoeCommerceDPGP/Documents%20partages/Forms/AllItems.aspx?csf=1&web=1&e=D34sGV&cid=a32c50b0%2D5625%2D4db6%2Db3d8%2Da4b9e55ba595&FolderCTID=0x012000F211C015EFB11442B50B93E86223B619&id=%2Fsites%2F%2DAR%2DContenidoeCommerceDPGP%2FDocuments%20partages%2FGeneral%2FContenido%20Loreal%20Consumo%20Masivo%2FCategor%C3%ADas%2F4%2E%20MAKE%20UP%2FLOREAL%20PARIS%2FROSTRO%2FBASES%2FINFAILLIBLE%2FINFAILLIBLE%20BASE%20EN%20POLVO%2F2%2E%20A%2B%20CONTENT%2FTONO%20130%20%2D%203600523951543&viewid=4c10b7ab%2D3dd4%2D43ab%2Db35c%2Dbc535dfbe16b
MAKE UP ,L'OREAL PARIS ,3600523951741,Infallible,,Rostro,Base de Maquillaje en Polvo L'Oréal Paris Infaillible Tono Rose Sand,,#REF!,Rose Sand,Base de Maquillaje en Polvo,"¿Queres una base de alta cobertura pero con acabado matte?
Crea un acabado perfecto con la nueva INFAILLIBLE 24HS FRESH WEAR base en polvo de L’Oréal País. Descubri la base en polvo de un paso que cubre como una base líquida y a la vez te matifica como un polvo dando como resultado una piel perfecta con un look natural por 24 horas.

Conoce también toda nuestra línea de Infaillible 24hs:
Incluí a tu rutina nuestro amado corrector More Than a Concelaer de Infaillible 24hs Fresh Wear para crear un look de acabado perfecto , en tendencia y de larga duración",Larga duracion. A prueba de todo. Alta cobertura,"PASO 1:Aplicar Infaillible 24hs Fresh Wear base en polvo sobre la piel limpia e hidratada en todo el rostro y cuello para lograr un tono con acabado uniforme.
PASO 2: Aplicar a la piel con la esponja que trae el producto. La esponja permite aplicar a la piel la cantidad optima de producto para lograr un acabado parejo",Si,Día y Noche,,No,"30176546, 30176554","Maquillaje, base de maquillaje, base en polvo, infallible; Foundation; base; base reparadora; cobertura; base para piel grasa; base matificante; base en polvo; base de maquillaje; base cara; base loreal paris; maquillaje; base larga duración loreal; base rostro; base para maquillaje; base de maquillaje loreal; base loreal; loreal maquillaje; base loreal; rostro loreal; maquillaje rostro loreal",9,g,https://loreal.sharepoint.com/sites/-AR-ContenidoeCommerceDPGP/Documents%20partages/Forms/AllItems.aspx?csf=1&web=1&e=D34sGV&cid=a32c50b0%2D5625%2D4db6%2Db3d8%2Da4b9e55ba595&FolderCTID=0x012000F211C015EFB11442B50B93E86223B619&id=%2Fsites%2F%2DAR%2DContenidoeCommerceDPGP%2FDocuments%20partages%2FGeneral%2FContenido%20Loreal%20Consumo%20Masivo%2FCategor%C3%ADas%2F4%2E%20MAKE%20UP%2FLOREAL%20PARIS%2FROSTRO%2FBASES%2FINFAILLIBLE%2FINFAILLIBLE%20BASE%20EN%20POLVO%2F2%2E%20A%2B%20CONTENT%2FTONO%20180%20%2D%203600523951741&viewid=4c10b7ab%2D3dd4%2D43ab%2Db35c%2Dbc535dfbe16b
MAKE UP ,L'OREAL PARIS ,3600523951895,Infallible,,Rostro,Base de Maquillaje en Polvo L'Oréal Paris Infaillible Tono Sand,,#REF!,Sand,Base de Maquillaje en Polvo,"¿Queres una base de alta cobertura pero con acabado matte?
Crea un acabado perfecto con la nueva INFAILLIBLE 24HS FRESH WEAR base en polvo de L’Oréal País. Descubri la base en polvo de un paso que cubre como una base líquida y a la vez te matifica como un polvo dando como resultado una piel perfecta con un look natural por 24 horas.

Conoce también toda nuestra línea de Infaillible 24hs:
Incluí a tu rutina nuestro amado corrector More Than a Concelaer de Infaillible 24hs Fresh Wear para crear un look de acabado perfecto , en tendencia y de larga duración",Larga duracion. A prueba de todo. Alta cobertura,"PASO 1:Aplicar Infaillible 24hs Fresh Wear base en polvo sobre la piel limpia e hidratada en todo el rostro y cuello para lograr un tono con acabado uniforme.
PASO 2: Aplicar a la piel con la esponja que trae el producto. La esponja permite aplicar a la piel la cantidad optima de producto para lograr un acabado parejo",Si,Día y Noche,,No,"30176546, 30176554","Maquillaje, base de maquillaje, base en polvo, infallible; Foundation; base; base reparadora; cobertura; base para piel grasa; base matificante; base en polvo; base de maquillaje; base cara; base loreal paris; maquillaje; base larga duración loreal; base rostro; base para maquillaje; base de maquillaje loreal; base loreal; loreal maquillaje; base loreal; rostro loreal; maquillaje rostro loreal",9,g,https://loreal.sharepoint.com/sites/-AR-ContenidoeCommerceDPGP/Documents%20partages/Forms/AllItems.aspx?csf=1&web=1&e=D34sGV&cid=a32c50b0%2D5625%2D4db6%2Db3d8%2Da4b9e55ba595&FolderCTID=0x012000F211C015EFB11442B50B93E86223B619&id=%2Fsites%2F%2DAR%2DContenidoeCommerceDPGP%2FDocuments%20partages%2FGeneral%2FContenido%20Loreal%20Consumo%20Masivo%2FCategor%C3%ADas%2F4%2E%20MAKE%20UP%2FLOREAL%20PARIS%2FROSTRO%2FBASES%2FINFAILLIBLE%2FINFAILLIBLE%20BASE%20EN%20POLVO%2F2%2E%20A%2B%20CONTENT%2FTONO%20220%20%2D%203600523951895&viewid=4c10b7ab%2D3dd4%2D43ab%2Db35c%2Dbc535dfbe16b
MAKE UP ,L'OREAL PARIS ,3600523951543,Infallible,,Rostro,Base de Maquillaje en Polvo L'Oréal Paris Infaillible Tono True Beige ,,#REF!,True Beige,Base de Maquillaje en Polvo,"¿Queres una base de alta cobertura pero con acabado matte?
Crea un acabado perfecto con la nueva INFAILLIBLE 24HS FRESH WEAR base en polvo de L’Oréal País. Descubri la base en polvo de un paso que cubre como una base líquida y a la vez te matifica como un polvo dando como resultado una piel perfecta con un look natural por 24 horas.

Conoce también toda nuestra línea de Infaillible 24hs:
Incluí a tu rutina nuestro amado corrector More Than a Concelaer de Infaillible 24hs Fresh Wear para crear un look de acabado perfecto , en tendencia y de larga duración",Larga duracion. A prueba de todo. Alta cobertura,"PASO 1:Aplicar Infaillible 24hs Fresh Wear base en polvo sobre la piel limpia e hidratada en todo el rostro y cuello para lograr un tono con acabado uniforme.
PASO 2: Aplicar a la piel con la esponja que trae el producto. La esponja permite aplicar a la piel la cantidad optima de producto para lograr un acabado parejo",Si,Día y Noche,,No,"30176546, 30176554","Maquillaje, base de maquillaje, base en polvo, infallible; Foundation; base; base reparadora; cobertura; base para piel grasa; base matificante; base en polvo; base de maquillaje; base cara; base loreal paris; maquillaje; base larga duración loreal; base rostro; base para maquillaje; base de maquillaje loreal; base loreal; loreal maquillaje; base loreal; rostro loreal; maquillaje rostro loreal",9,g,https://loreal.sharepoint.com/sites/-AR-ContenidoeCommerceDPGP/Documents%20partages/Forms/AllItems.aspx?csf=1&web=1&e=D34sGV&cid=a32c50b0%2D5625%2D4db6%2Db3d8%2Da4b9e55ba595&FolderCTID=0x012000F211C015EFB11442B50B93E86223B619&id=%2Fsites%2F%2DAR%2DContenidoeCommerceDPGP%2FDocuments%20partages%2FGeneral%2FContenido%20Loreal%20Consumo%20Masivo%2FCategor%C3%ADas%2F4%2E%20MAKE%20UP%2FLOREAL%20PARIS%2FROSTRO%2FBASES%2FINFAILLIBLE%2FINFAILLIBLE%20BASE%20EN%20POLVO%2F2%2E%20A%2B%20CONTENT%2FTONO%20130%20%2D%203600523951543&viewid=4c10b7ab%2D3dd4%2D43ab%2Db35c%2Dbc535dfbe16b
MAKE UP ,L'OREAL PARIS ,3600523951444,Infallible,,Rostro,Base de Maquillaje en Polvo L'Oréal Paris Infaillible Tono Vainilla ,,#REF!,Vainilla,Base de Maquillaje en Polvo,"¿Queres una base de alta cobertura pero con acabado matte?
Crea un acabado perfecto con la nueva INFAILLIBLE 24HS FRESH WEAR base en polvo de L’Oréal País. Descubri la base en polvo de un paso que cubre como una base líquida y a la vez te matifica como un polvo dando como resultado una piel perfecta con un look natural por 24 horas.

Conoce también toda nuestra línea de Infaillible 24hs:
Incluí a tu rutina nuestro amado corrector More Than a Concelaer de Infaillible 24hs Fresh Wear para crear un look de acabado perfecto , en tendencia y de larga duración",Larga duracion. A prueba de todo. Alta cobertura,"PASO 1:Aplicar Infaillible 24hs Fresh Wear base en polvo sobre la piel limpia e hidratada en todo el rostro y cuello para lograr un tono con acabado uniforme.
PASO 2: Aplicar a la piel con la esponja que trae el producto. La esponja permite aplicar a la piel la cantidad optima de producto para lograr un acabado parejo",Si,Día y Noche,,No,"30176546, 30176554","Maquillaje, base de maquillaje, base en polvo, infallible; Foundation; base; base reparadora; cobertura; base para piel grasa; base matificante; base en polvo; base de maquillaje; base cara; base loreal paris; maquillaje; base larga duración loreal; base rostro; base para maquillaje; base de maquillaje loreal; base loreal; loreal maquillaje; base loreal; rostro loreal; maquillaje rostro loreal",9,g,https://loreal.sharepoint.com/sites/-AR-ContenidoeCommerceDPGP/Documents%20partages/Forms/AllItems.aspx?csf=1&web=1&e=D34sGV&cid=a32c50b0%2D5625%2D4db6%2Db3d8%2Da4b9e55ba595&RootFolder=%2Fsites%2F%2DAR%2DContenidoeCommerceDPGP%2FDocuments%20partages%2FGeneral%2FContenido%20Loreal%20Consumo%20Masivo%2FCategor%C3%ADas%2F4%2E%20MAKE%20UP%2FLOREAL%20PARIS%2FROSTRO%2FBASES%2FINFAILLIBLE%2FINFAILLIBLE%20BASE%20EN%20POLVO%2F2%2E%20A%2B%20CONTENT%2FTONO%20120%20%2D%203600523951444&FolderCTID=0x012000F211C015EFB11442B50B93E86223B619
MAKE UP ,L'OREAL PARIS ,30177499,Infallible,,Rostro,Base de Maquillaje L'Oréal París Infaillible Matte Cover Tono Golden Amber  ,,#REF!,Golden Amber,Base de Maquillaje ,●Alta cobertura mate ●Textura ultra fluída ●Acabado natural ● Sin sensación grasa ●Resistente al agua ●Resistente a la transpiración ●Resistente al calor ● Con Protección solar,Textura ultra fluida. Cobertura materesultado natural,Aplica tu base de maquillaje con una brocha para proporcionar un acabado uniforme en tu piel.,Si,Día y Noche,,No,"30176546, 30176555",Maquillaje; base de maquillaje; infallible; Foundation; base; base reparadora; cobertura; base para piel grasa; base matificante; base de maquillaje; base cara; base loreal paris; maquillaje; base larga duración loreal; base rostro; base para maquillaje; base de maquillaje loreal; base loreal; loreal maquillaje; base loreal; rostro loreal; maquillaje rostro loreal; base de maquillaje textura fluida; base infallible; base infallible loreal,30,ml,
MAKE UP ,L'OREAL PARIS ,30177482,Infallible,,Rostro,Base de Maquillaje L'Oréal París Infaillible Matte Cover Tono Golden Sand ,,#REF!,Golden Sand,Base de Maquillaje ,●Alta cobertura mate ●Textura ultra fluída ●Acabado natural ● Sin sensación grasa ●Resistente al agua ●Resistente a la transpiración ●Resistente al calor ● Con Protección solar,Textura ultra fluida. Cobertura materesultado natural,Aplica tu base de maquillaje con una brocha para proporcionar un acabado uniforme en tu piel.,Si,Día y Noche,,No,"30176546, 30176554",Maquillaje; base de maquillaje; infallible; Foundation; base; base reparadora; cobertura; base para piel grasa; base matificante; base de maquillaje; base cara; base loreal paris; maquillaje; base larga duración loreal; base rostro; base para maquillaje; base de maquillaje loreal; base loreal; loreal maquillaje; base loreal; rostro loreal; maquillaje rostro loreal; base de maquillaje textura fluida; base infallible; base infallible loreal,30,ml,
MAKE UP ,L'OREAL PARIS ,30176737,Infallible,,Rostro,Base de Maquillaje L'Oréal París Infaillible Matte Cover Tono Radiant Honey  ,,#REF!,Radiant Honey,Base de Maquillaje ,●Alta cobertura mate ●Textura ultra fluída ●Acabado natural ● Sin sensación grasa ●Resistente al agua ●Resistente a la transpiración ●Resistente al calor ● Con Protección solar,Textura ultra fluida. Cobertura materesultado natural,Aplica tu base de maquillaje con una brocha para proporcionar un acabado uniforme en tu piel.,Si,Día y Noche,,No,"30176546, 30176556",Maquillaje; base de maquillaje; infallible; Foundation; base; base reparadora; cobertura; base para piel grasa; base matificante; base de maquillaje; base cara; base loreal paris; maquillaje; base larga duración loreal; base rostro; base para maquillaje; base de maquillaje loreal; base loreal; loreal maquillaje; base loreal; rostro loreal; maquillaje rostro loreal; base de maquillaje textura fluida; base infallible; base infallible loreal,30,ml,
MAKE UP ,L'OREAL PARIS ,30177468,Infallible,,Rostro,Base de Maquillaje L'Oréal París Infaillible Matte Cover Tono Radiant Vanilla  ,,#REF!,Radiant Vanilla,Base de Maquillaje ,●Alta cobertura mate ●Textura ultra fluída ●Acabado natural ● Sin sensación grasa ●Resistente al agua ●Resistente a la transpiración ●Resistente al calor ● Con Protección solar,Textura ultra fluida. Cobertura materesultado natural,Aplica tu base de maquillaje con una brocha para proporcionar un acabado uniforme en tu piel.,Si,Día y Noche,,No,"30176546, 30176553",Maquillaje; base de maquillaje; infallible; Foundation; base; base reparadora; cobertura; base para piel grasa; base matificante; base de maquillaje; base cara; base loreal paris; maquillaje; base larga duración loreal; base rostro; base para maquillaje; base de maquillaje loreal; base loreal; loreal maquillaje; base loreal; rostro loreal; maquillaje rostro loreal; base de maquillaje textura fluida; base infallible; base infallible loreal,30,ml,
